NominalReturn_BCOMTR,Long_Nominal_Returns,Short_Nominal_Returns,Close,SMA,Buy,L_Strategy_Return,L_Strategy_Balance,L_Strategy_Peak,L_Strategy_DD,L_momentum_signal,LS_Strategy_Return,LS_Strategy_Balance,LS_Strategy_Peak,LS_Strategy_DD,LS_momentum_signal,log_Strategy_Returns,expanding_volatility,momentum_z_score,normalized_momentum_z_score,absolute_normalized_momentum_z_score,Z_Long_Nominal_Returns,Z_Short_Nominal_Returns,Z_Strategy_Return,Z_Strategy_Balance,Z_Strategy_Peak,Z_Strategy_DD
0.008,1.008,0.992,171.44,169.60083333333333,True,1.008,98.97548219605393,100.9190913842496,-1.9436091881956656,1,1.008,98.44101459219523,100.37412829077464,-1.9331136985794046,1,0.007968169649176881,0.008877110845095635,207.18077072145167,0.03547086757652161,0.03547086757652161,1.0000791493879666,0.9999208506120334,1.0000791493879666,99.91225696128748,100.33322142180054,-0.420964460513062
0.0075,1.0075,0.9925,172.72,169.64346666666668,True,1.0075,99.71779831252434,100.9190913842496,-1.2012930717252601,1,1.0075,99.1793222016367,100.37412829077464,-1.1948060891379413,1,0.0074720148387010564,0.008805149780599932,349.401589977689,0.05982129966860929,0.05982129966860929,1.000266031506824,0.9997339684931761,1.000266031506824,99.93883676955707,100.33322142180054,-0.39438465224347397
0.0076,1.0076,0.9924,174.03,169.68766666666664,True,1.0076,100.47565357969954,100.9190913842496,-0.443437804550058,1,1.0076,99.93308505036914,100.37412829077464,-0.4410432404054916,1,0.007571265496318126,0.008703901243011713,498.8950600536488,0.08541692350436182,0.08541692350436182,1.0004546418774813,0.9995453581225185,1.0004546418774813,99.98427314993928,100.33322142180054,-0.34894827186126065
0.0088,1.0088,0.9912,175.56,169.73993333333334,True,1.0088,101.3598393312009,101.3598393312009,0.0,1,1.0088,100.81249619881238,100.81249619881238,0.0,1,0.00876150566857267,0.008658299491085054,672.1951201456181,0.11508860847209654,0.11508860847209654,1.0007516689268383,0.9992483310731616,1.0007516689268383,100.0594282212386,100.33322142180054,-0.2737932005619399
-0.0043,0.9957,1.0043,174.81,169.78046666666665,True,0.9957,100.92399202207673,101.3598393312009,-0.4358473091241706,1,0.9957,100.3790024651575,100.81249619881238,-0.43349373365488475,1,-0.004309271588098403,0.008453744256710962,594.9474198182276,0.10186259211999647,0.10186259211999647,0.99950511898357,1.00049488101643,0.99950511898357,100.00991070969707,100.33322142180054,-0.3233107121034777
-0.0062,0.9938,1.0062,173.74,169.81636666666665,True,0.9938,100.29826327153985,101.3598393312009,-1.06157605966105,1,0.9938,99.75665264987353,100.81249619881238,-1.055843548938853,1,-0.0062192998139168326,0.008343804158427075,470.24513744975246,0.08051160796435765,0.08051160796435765,0.999368451928856,1.000631548071144,0.999368451928856,99.94674964349308,100.33322142180054,-0.3864717783074667
-0.0038,0.9962,1.0038,173.07,169.84913333333333,True,0.9962,99.917129871108,101.3598393312009,-1.4427094600928996,1,0.9962,99.377577369804,100.81249619881238,-1.4349188290083816,1,-0.0038072383429540663,0.008136703122566983,395.8441912097858,0.06777300050535216,0.06777300050535216,0.9996940558897355,1.0003059441102646,0.9996940558897355,99.91617152409957,100.33322142180054,-0.4170498977009771
-0.0188,0.9812,1.0188,169.82,169.86659999999998,False,0.9812,98.03868782953117,101.3598393312009,-3.321151501669732,0,0.9812,97.50927891525168,100.81249619881238,-3.3032172835606985,-1,-0.018978966597802856,0.009067521154091618,-5.1392215367433725,-0.0005771833521864771,0.0005771833521864771,0.9987258675904994,1.0012741324095007,0.9987258675904994,99.7888650917275,100.33322142180054,-0.5443563300730432
0.0144,1.0144,0.9856,172.27,169.8904,True,1.0,98.03868782953117,101.3598393312009,-3.321151501669732,1,0.9856,96.10514529887206,100.81249619881238,-4.707350899940323,1,0.0,0.00881566226659796,269.9286710445089,0.04621429103398901,0.04621429103398901,1.0000083114402716,0.9999916885597285,0.9999916885597285,99.78803570253552,100.33322142180054,-0.5451857192650209
-0.0057,0.9943,1.0057,171.29,169.90353333333334,True,0.9943,97.47986730890284,101.3598393312009,-3.8799720222980625,1,0.9943,95.55734597066848,100.81249619881238,-5.255150228143904,1,-0.005716306996109192,0.008643945951939767,160.39742432164513,0.027460825829422462,0.027460825829422462,0.9997365785411063,1.0002634214588937,0.9997365785411063,99.76174939259063,100.33322142180054,-0.5714720292099145
0.0052,1.0052,0.9948,172.17,169.92680000000001,True,1.0052,97.98676261890914,101.3598393312009,-3.3730767122917626,1,1.0052,96.05424416971596,100.81249619881238,-4.758252029096425,1,0.005186526687300154,0.008542295844955923,262.59919355573993,0.044959369674415085,0.044959369674415085,1.000142796294313,0.999857203705687,1.000142796294313,99.77599500071807,100.33322142180054,-0.5572264210824756
0.0153,1.0153,0.9847,174.8,169.95420000000001,True,1.0153,99.48596008697847,101.3598393312009,-1.8738792442224366,1,1.0153,97.52387410551263,100.81249619881238,-3.2886220932997503,1,0.015184135325040055,0.00901972314105969,537.2448715128394,0.09198301196148785,0.09198301196148785,1.0006878783560185,0.9993121216439814,1.0006878783560185,99.84462874812927,100.33322142180054,-0.48859267367127757
0.0096,1.0096,0.9904,176.48,169.99339999999998,True,1.0096,100.44102530381348,101.3598393312009,-0.9188140273874268,1,1.0096,98.46010329692557,100.81249619881238,-2.352392901886816,1,0.009554212804811711,0.009045621309725013,717.0983371840051,0.1227767426210043,0.1227767426210043,1.0008830369148303,0.9991169630851697,1.0008830369148303,99.93279524106138,100.33322142180054,-0.40042618073916003
-0.0022,0.9978,1.0022,176.1,170.02456666666666,True,0.9978,100.22005504814508,101.3598393312009,-1.1397842830558176,1,0.9978,98.24349106967233,100.81249619881238,-2.569005129140052,1,-0.0022024235552000394,0.008860275597772221,685.6934941008957,0.11739974154017002,0.11739974154017002,0.9997298911662338,1.0002701088337662,0.9997298911662338,99.90580251028382,100.33322142180054,-0.4274189115167246
-0.0144,0.9856,1.0144,173.57,170.0413,True,0.9856,98.7768862554518,101.3598393312009,-2.582953075749103,1,0.9856,96.82878479826906,100.81249619881238,-3.983711400543328,1,-0.014504686202881688,0.009151803830538473,385.57426113365074,0.06601462760174194,0.06601462760174194,0.9983094437218215,1.0016905562781784,0.9983094437218215,99.7369061286236,100.33322142180054,-0.5963152931769429
0.0,1.0,1.0,173.57,170.0625333333333,True,1.0,98.7768862554518,101.3598393312009,-2.582953075749103,1,1.0,96.82878479826906,100.81249619881238,-3.983711400543328,1,0.0,0.008967419522686574,391.13444595663077,0.06696661834163141,0.06696661834163141,1.0,1.0,1.0,99.7369061286236,100.33322142180054,-0.5963152931769429
-0.0068,0.9932,1.0068,172.4,170.073,True,0.9932,98.10520342891472,101.3598393312009,-3.254635902286182,1,0.9932,96.17034906164082,100.81249619881238,-4.642147137171563,1,-0.006823225348125537,0.008877788032598465,262.1148411581192,0.04487644095674504,0.04487644095674504,0.9995446269952769,1.000455373004723,0.9995446269952769,99.69148863399802,100.33322142180054,-0.6417327878025247
-0.0087,0.9913,1.0087,170.89,170.0759,True,0.9913,97.25168815908316,101.3598393312009,-4.1081511721177435,1,0.9913,95.33366702480454,100.81249619881238,-5.478829174007842,1,-0.008738065943285299,0.008843001539588922,92.06150155638679,0.01576064539558915,0.01576064539558915,0.9996095749636763,1.0003904250363236,0.9996095749636763,99.65256658092694,100.33322142180054,-0.6806548408736006
-0.0037,0.9963,1.0037,170.25,170.07576666666665,True,0.9963,96.89185691289455,101.3598393312009,-4.467982418306349,1,0.9963,94.98093245681277,100.81249619881238,-5.8315637419996165,1,-0.003706861931326512,0.008698241598391674,20.030868464904888,0.0034278726776645215,0.0034278726776645215,0.9999416856120363,1.0000583143879638,0.9999416856120363,99.64675540249776,100.33322142180054,-0.6864660193027845
-0.0102,0.9898,1.0102,168.52,170.0667,False,0.9898,95.90355997238302,101.3598393312009,-5.456279358817881,0,0.9898,94.01212694575328,100.81249619881238,-6.8003692530591024,-1,-0.010252376464351353,0.00870916241777771,-177.59457520768729,-0.02238563535578897,0.02238563535578897,0.9999650356986878,1.0000349643013122,0.9999650356986878,99.64327132331708,100.33322142180054,-0.6899500984834646
0.0025,1.0025,0.9975,168.95,170.05003333333335,False,1.0,95.90355997238302,101.3598393312009,-5.456279358817881,0,0.9975,93.7770966283889,100.81249619881238,-7.035399570423479,-1,0.0,0.008566440292597342,-128.41195359570148,-0.016166072900900382,0.016166072900900382,1.0000559640883895,0.9999440359116105,0.9999440359116105,99.63769487847333,100.33322142180054,-0.6955265433272189
-0.002,0.998,1.002,168.61,170.02016666666668,False,1.0,95.90355997238302,101.3598393312009,-5.456279358817881,0,1.002,93.96465082164568,100.81249619881238,-6.847845377166706,-1,0.0,0.008430514070706545,-167.269356867165,-0.021079923333443468,0.021079923333443468,0.9999676678541982,1.0000323321458018,1.0000323321458018,99.64091637895149,100.33322142180054,-0.6923050428490569
0.0063,1.0063,0.9937,169.67,169.98930000000001,False,1.0,95.90355997238302,101.3598393312009,-5.456279358817881,0,0.9937,93.37267352146932,100.81249619881238,-7.439822677343059,-1,0.0,0.008300860874956734,-38.46588984081618,-0.004791625123220967,0.004791625123220967,1.0001328035170007,0.9998671964829993,0.9998671964829993,99.6276837148192,100.33322142180054,-0.705537706981346
0.0048,1.0048,0.9952,170.48,169.9682,True,1.0,95.90355997238302,101.3598393312009,-5.456279358817881,1,0.9952,92.92448468856627,100.81249619881238,-7.888011510246116,1,0.0,0.008177012483272477,62.59009644989183,0.01071467918292695,0.01071467918292695,1.0000229998005914,0.9999770001994085,0.9999770001994085,99.62539229796036,100.33322142180054,-0.7078291238401846
-0.0022,0.9978,1.0022,170.1,169.93516666666667,True,0.9978,95.69257214044379,101.3598393312009,-5.667267190757116,1,0.9978,92.72005082225142,100.81249619881238,-8.09244537656096,1,-0.0022024235552000394,0.00805754084268221,20.457027342656296,0.0035008377531534312,0.0035008377531534312,0.9999764277057975,1.0000235722942024,0.9999764277057975,99.62304389890308,100.33322142180054,-0.7101775228974674
0.0043,1.0043,0.9957,170.84,169.9151333333333,True,1.0043,96.10405020064769,101.3598393312009,-5.255789130553211,1,1.0043,93.1187470407871,100.81249619881238,-7.693749158025284,1,0.004290781417156246,0.007995263534449397,115.67682074289425,0.019803957965375277,0.019803957965375277,1.0000150536023387,0.9999849463976614,1.0000150536023387,99.6245435845897,100.33322142180054,-0.7086778372108427
0.0047,1.0047,0.9953,171.63,169.89433333333335,True,1.0047,96.55573923659074,101.3598393312009,-4.804100094610163,1,1.0047,93.55640515187879,100.81249619881238,-7.256091046933591,1,0.0046889894861314695,0.00794075011735782,218.57716727197126,0.037422109186218355,0.037422109186218355,1.0000930786024373,0.9999069213975628,1.0000930786024373,99.633816497875,100.33322142180054,-0.6994049239255418
0.0006,1.0006,0.9994,171.74,169.87436666666665,True,1.0006,96.61367268013268,101.3598393312009,-4.746166651068222,1,1.0006,93.61253899496991,100.81249619881238,-7.199957203842473,1,0.0005998200719675495,0.007836727476892005,238.0628060417461,0.04075835577877582,0.04075835577877582,1.0000224532655118,0.9999775467344882,1.0000224532655118,99.63605360241078,100.33322142180054,-0.6971678193897617
0.0091,1.0091,0.9909,173.3,169.8732,True,1.0091,97.4928571015219,101.3598393312009,-3.866982229678996,1,1.0091,94.46441309982414,100.81249619881238,-6.348083098988241,1,0.009058844488346146,0.007895855389717012,433.9998430648602,0.07430584579681664,0.07430584579681664,1.000370901037587,0.9996290989624131,1.000370901037587,99.67300871807299,100.33322142180054,-0.6602127037275523
