Date1,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,Date2,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal
9/25/2007 0:00,0.89913593,8.613894699,-1.559286409,0.940518691,,,9/28/2007,,,
9/26/2007 0:00,0.902005503,8.675519581,-1.462325076,0.88552978,,,10/1/2007,,,
9/27/2007 0:00,0.904714032,8.800983651,-1.373449029,0.745746477,,,10/2/2007,,,
9/28/2007 0:00,0.914429948,8.948780783,-1.117311003,0.67090378,,,10/3/2007,,,
10/1/2007 0:00,0.921780432,9.046275401,-0.924862597,0.633374018,,,10/4/2007,,,
10/2/2007 0:00,0.93150575,9.069013147,-0.676653327,0.721725503,,,10/5/2007,,,
10/3/2007 0:00,0.936550025,9.07030068,-0.546627584,0.777899024,,,10/8/2007,,,
10/4/2007 0:00,0.944139001,9.034070992,-0.353669341,0.914322834,,,10/9/2007,,,
10/5/2007 0:00,0.948972421,9.1829388,-0.230315365,0.773493612,,,10/10/2007,,,
10/8/2007 0:00,0.948972421,9.1829388,-0.229168157,0.767632027,,,10/11/2007,,,
10/9/2007 0:00,0.951711118,9.258665243,-0.158529019,0.699009186,,,10/12/2007,,,
10/10/2007 0:00,0.946451944,9.30447985,-0.29185734,0.570981038,,,10/15/2007,,,
10/11/2007 0:00,0.941959894,9.322503202,-0.40531388,0.489085019,,,10/16/2007,,,
10/12/2007 0:00,0.945780645,9.51222924,-0.305036316,0.298844074,,,10/17/2007,,,
10/15/2007 0:00,0.94160698,9.441627498,-0.411173605,0.332574078,,,10/18/2007,,,
10/16/2007 0:00,0.942322195,9.390781175,-0.390509927,0.403133243,,,10/19/2007,,,
10/17/2007 0:00,0.95320794,9.438557782,-0.105320098,0.476927144,,,10/22/2007,,,
10/18/2007 0:00,0.963958129,9.495195949,0.176307746,0.536799786,,,10/23/2007,,,
10/19/2007 0:00,0.967989032,9.462207653,0.281338496,0.625920553,,,10/24/2007,,,
10/22/2007 0:00,0.975500844,9.507049266,0.477803907,0.658554962,,,10/25/2007,,,
10/23/2007 0:00,0.973625013,9.355501958,0.425763977,0.827605019,,,10/26/2007,,,
10/24/2007 0:00,0.969688492,9.292158264,0.319234617,0.855498118,,,10/29/2007,,,
10/25/2007 0:00,0.966438171,9.216604445,0.231147956,0.90878143,,,10/30/2007,,,
10/26/2007 0:00,0.959984598,9.018929574,0.057352045,1.088868658,,,10/31/2007,,,
10/29/2007 0:00,0.974472528,9.00331302,0.44639431,1.289709288,,,11/1/2007,,,
10/30/2007 0:00,1.003471407,9.362756485,1.219466341,1.151769119,,,11/2/2007,,,
10/31/2007 0:00,1.022724664,9.373318747,1.711728868,1.366559707,,,11/5/2007,,,
11/1/2007 0:00,1.075498965,9.784508979,2.996725319,1.444342323,,,11/6/2007,,,
11/2/2007 0:00,1.121268502,10.09000128,3.897941315,1.565302841,,,11/7/2007,,,
11/5/2007 0:00,1.151872362,10.29085847,4.268332662,1.635506623,,,11/8/2007,,,
11/6/2007 0:00,1.173537332,10.31330785,4.360055601,1.820751173,,,11/9/2007,,,
11/7/2007 0:00,1.206867863,10.57863166,4.590944283,1.823171814,,,11/12/2007,,,
11/8/2007 0:00,1.19935632,10.35850661,4.120999428,1.979011708,,,11/13/2007,,,
11/9/2007 0:00,1.198231379,10.37163621,3.840614894,1.914320034,,,11/14/2007,,,
11/12/2007 0:00,1.198231379,10.37163621,3.624316298,1.880475618,,,11/15/2007,,,
11/13/2007 0:00,1.175581299,10.0879278,3.124317006,1.954893725,,,11/16/2007,,,
11/14/2007 0:00,1.153790528,9.945294808,2.698542046,1.86514249,,,11/19/2007,,,
11/15/2007 0:00,1.132511564,9.816864097,2.32010622,1.766277917,,,11/20/2007,,,
11/16/2007 0:00,1.11264619,9.79774372,1.988151844,1.551496,,,11/21/2007,,,
11/19/2007 0:00,1.100265543,9.829516094,1.778814982,1.362147785,,,11/23/2007,,,
11/20/2007 0:00,1.103304467,9.993192254,1.794295039,1.187779841,,,11/26/2007,,,
11/21/2007 0:00,1.101429209,9.968587284,1.741019817,1.186224388,,,11/27/2007,,,
11/22/2007 0:00,1.101429209,9.968587284,1.715867427,1.175926278,,,11/28/2007,,,
11/23/2007 0:00,1.106067601,9.984811759,1.755169168,1.195689832,,,11/29/2007,,,
11/26/2007 0:00,1.120147705,10.05259879,1.920099855,1.253531726,,,11/30/2007,,,
11/27/2007 0:00,1.121701567,9.922812068,1.909350096,1.409653686,,,12/3/2007,,,
11/28/2007 0:00,1.125871477,9.992030258,1.933624774,1.35715021,,,12/4/2007,,,
11/29/2007 0:00,1.122943959,9.92663394,1.863677511,1.389823344,,,12/5/2007,,,
11/30/2007 0:00,1.118488953,9.942251322,1.777062014,1.311470981,,,12/6/2007,,,
12/3/2007 0:00,1.105089577,9.741291982,1.577727316,1.396103933,,,12/7/2007,,,
12/4/2007 0:00,1.105276105,9.778045755,1.561447123,1.340497162,,,12/10/2007,,,
12/5/2007 0:00,1.100190049,9.718568183,1.477545588,1.344980785,,,12/11/2007,,,
12/6/2007 0:00,1.100472794,9.863631794,1.465412406,1.165604132,,,12/12/2007,,,
12/7/2007 0:00,1.092608997,9.824813385,1.348775176,1.119725868,,,12/13/2007,,,
12/10/2007 0:00,1.092815017,9.957317223,1.338819981,0.962240391,,,12/14/2007,,,
12/11/2007 0:00,1.093451768,9.990568276,1.334678951,0.92524117,,,12/17/2007,,,
