Date,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal,returns+1
2007-08-20,0.911352107,7.978138156,-1.888346432,2.803945787,,,0.0,-1.0,-0.120141205533209,0.0766
2007-08-21,0.909457778,7.814828867,-1.879750541,2.874496296,,,0.0,-1.0,-0.131058609994117,0.0766
2007-08-22,0.915294479,7.869058507,-1.667603378,2.695536995,,,0.0,-1.0,-0.1166853993243306,0.0766
2007-08-23,0.913861944,8.058460438,-1.662939451,2.250698154,,,0.0,-1.0,-0.0973979445456462,0.0766
2007-08-24,0.913530534,8.327228463,-1.630026054,1.774096651,,,0.0,-1.0,-0.076510289485162,0.0766
2007-08-27,0.916313521,8.639388874,-1.518881925,1.337206922,,,0.0,-1.0,-0.0838890865493195,0.0766
2007-08-28,0.922810912,9.057194281,-1.317875711,0.85841683,,,0.0,-1.0,-0.09177946496474,0.0766
2007-08-29,0.920107145,9.183921717,-1.36474743,0.66094249,,,0.0,-1.0,-0.0768640154218737,0.0766
2007-08-30,0.92493554,9.333299792,-1.215199283,0.533899341,,,0.0,-1.0,-0.0656335210827695,0.0766
2007-08-31,0.926383722,9.33703977,-1.158806168,0.54252113,,,0.0,-1.0,-0.0576830929316063,0.0766
2007-09-03,0.926383722,9.33703977,-1.141966972,0.538161169,,,0.0,-1.0,-0.0576830929316063,0.0296
2007-09-04,0.934300445,9.420035704,-0.9202219,0.530087821,,,0.0,-1.0,-0.0321473849472822,0.0296
2007-09-05,0.931496804,9.288421691,-0.983040937,0.651262503,,,0.0,-1.0,-0.0344879173313925,0.0296
2007-09-06,0.931650316,9.179099862,-0.967463087,0.783298322,,,0.0,-1.0,-0.0358798844143738,0.0296
2007-09-07,0.934052475,9.111316717,-0.893616989,0.891449546,,,0.0,-1.0,-0.0312208687026603,0.0296
2007-09-10,0.932579405,9.017737281,-0.922784318,0.984119201,,,0.0,-1.0,-0.0047242125621333,0.0296
2007-09-11,0.923477615,8.797674891,-1.150391585,1.14805489,,,1.0,1.0,0.033818615552398,0.0296
2007-09-12,0.926932417,8.788376782,-1.045341544,1.189428639,,,1.0,1.0,0.0874410374250586,0.0296
2007-09-13,0.923574616,8.760887464,-1.120278381,1.167371852,,,1.0,1.0,0.0700492854760476,0.0296
2007-09-14,0.920077177,8.740690775,-1.196720551,1.134479143,,,1.0,1.0,0.084640797003895,0.0296
2007-09-17,0.917238922,8.687103043,-1.253780672,1.156188696,,,1.0,1.0,0.1368724975348175,0.0296
2007-09-18,0.914581381,8.646897959,-1.304298473,1.161901854,,,1.0,1.0,0.1511704376758982,0.0296
2007-09-19,0.91071558,8.634562489,-1.383723449,1.114139483,,,1.0,1.0,0.1683191089105072,0.0296
2007-09-20,0.902465211,8.548458889,-1.569959079,1.111620085,,,1.0,1.0,0.2013395849623458,0.0296
2007-09-21,0.895786135,8.454161852,-1.70687671,1.141541958,,,1.0,1.0,0.2035119301923154,0.0296
2007-09-24,0.897007359,8.505910205,-1.64234443,1.072149852,,,1.0,1.0,0.2195098013119693,0.0296
2007-09-25,0.89913593,8.613894699,-1.559286409,0.940518691,,,1.0,1.0,0.1925096541944887,0.0296
2007-09-26,0.902005503,8.675519581,-1.462325076,0.88552978,,,1.0,1.0,0.2099119167312634,0.0296
2007-09-27,0.904714032,8.800983651,-1.373449029,0.745746477,,,1.0,1.0,0.2623151881337363,0.0296
2007-09-28,0.914429948,8.948780783,-1.117311003,0.67090378,,,1.0,1.0,0.2262934423519234,0.0296
2007-10-01,0.921780432,9.046275401,-0.924862597,0.633374018,,,1.0,1.0,0.2228393281665806,-0.0342
2007-10-02,0.93150575,9.069013147,-0.676653327,0.721725503,,,1.0,1.0,0.1833165086501175,-0.0342
2007-10-03,0.936550025,9.07030068,-0.546627584,0.777899024,,,1.0,1.0,0.1865908716096862,-0.0342
2007-10-04,0.944139001,9.034070992,-0.353669341,0.914322834,,,1.0,1.0,0.2019843045291128,-0.0342
2007-10-05,0.948972421,9.1829388,-0.230315365,0.773493612,,,1.0,1.0,0.1648399656048092,-0.0342
2007-10-08,0.948972421,9.1829388,-0.229168157,0.767632027,,,1.0,1.0,0.0746321140689945,-0.0342
2007-10-09,0.951711118,9.258665243,-0.158529019,0.699009186,,,1.0,1.0,0.103140246155111,-0.0342
2007-10-10,0.946451944,9.30447985,-0.29185734,0.570981038,,,1.0,1.0,0.1513143387053763,-0.0342
2007-10-11,0.941959894,9.322503202,-0.40531388,0.489085019,,,1.0,1.0,0.1918515428422727,-0.0342
2007-10-12,0.945780645,9.51222924,-0.305036316,0.298844074,,,1.0,1.0,0.1866547583795498,-0.0342
2007-10-15,0.94160698,9.441627498,-0.411173605,0.332574078,,,1.0,1.0,0.2320686772148504,-0.0342
2007-10-16,0.942322195,9.390781175,-0.390509927,0.403133243,,,1.0,1.0,0.2286290250561956,-0.0342
2007-10-17,0.95320794,9.438557782,-0.105320098,0.476927144,,,1.0,1.0,0.2232604284866376,-0.0342
2007-10-18,0.963958129,9.495195949,0.176307746,0.536799786,,,1.0,1.0,0.2601013617279109,-0.0342
2007-10-19,0.967989032,9.462207653,0.281338496,0.625920553,,,1.0,1.0,0.2353346129527999,-0.0342
2007-10-22,0.975500844,9.507049266,0.477803907,0.658554962,,,1.0,1.0,0.1948320130008709,-0.0342
2007-10-23,0.973625013,9.355501958,0.425763977,0.827605019,,,1.0,1.0,0.1782027518539028,-0.0342
2007-10-24,0.969688492,9.292158264,0.319234617,0.855498118,,,1.0,1.0,0.1755844819652969,-0.0342
2007-10-25,0.966438171,9.216604445,0.231147956,0.90878143,,,1.0,1.0,0.2355168815951376,-0.0342
2007-10-26,0.959984598,9.018929574,0.057352045,1.088868658,,,1.0,1.0,0.2668005884855831,-0.0342
2007-10-29,0.974472528,9.00331302,0.44639431,1.289709288,,,1.0,1.0,0.3137961962913006,-0.0342
2007-10-30,1.003471407,9.362756485,1.219466341,1.151769119,,,1.0,1.0,0.2567750703370423,-0.0342
2007-10-31,1.022724664,9.373318747,1.711728868,1.366559707,,,1.0,1.0,0.3204664627536822,-0.0342
2007-11-01,1.075498965,9.784508979,2.996725319,1.444342323,,,1.0,1.0,0.2982515331429833,0.0435
2007-11-02,1.121268502,10.09000128,3.897941315,1.565302841,,,1.0,1.0,0.3339046183911956,0.0435
2007-11-05,1.151872362,10.29085847,4.268332662,1.635506623,,,1.0,1.0,0.2892635024486841,0.0435
2007-11-06,1.173537332,10.31330785,4.360055601,1.820751173,,,1.0,1.0,0.3438372649944825,0.0435
2007-11-07,1.206867863,10.57863166,4.590944283,1.823171814,,,1.0,1.0,0.3156462349225759,0.0435
2007-11-08,1.19935632,10.35850661,4.120999428,1.979011708,,,1.0,1.0,0.3134042906283632,0.0435
2007-11-09,1.198231379,10.37163621,3.840614894,1.914320034,,,1.0,1.0,0.334449222897612,0.0435
2007-11-12,1.198231379,10.37163621,3.624316298,1.880475618,,,1.0,1.0,0.2753719237360046,0.0435
2007-11-13,1.175581299,10.0879278,3.124317006,1.954893725,,,1.0,1.0,0.2346350178110064,0.0435
2007-11-14,1.153790528,9.945294808,2.698542046,1.86514249,,,1.0,1.0,0.2933219864213493,0.0435
2007-11-15,1.132511564,9.816864097,2.32010622,1.766277917,,,1.0,1.0,0.2318009717784244,0.0435
2007-11-16,1.11264619,9.79774372,1.988151844,1.551496,,,1.0,1.0,0.2601682134852376,0.0435
2007-11-19,1.100265543,9.829516094,1.778814982,1.362147785,,,1.0,1.0,0.2205926309748106,0.0435
2007-11-20,1.103304467,9.993192254,1.794295039,1.187779841,,,1.0,1.0,0.2680261540366827,0.0435
2007-11-21,1.101429209,9.968587284,1.741019817,1.186224388,,,1.0,1.0,0.2570208189039507,0.0435
2007-11-22,1.101429209,9.968587284,1.715867427,1.175926278,,,1.0,1.0,0.2570208189039507,0.0435
2007-11-23,1.106067601,9.984811759,1.755169168,1.195689832,,,1.0,1.0,0.3046060800797694,0.0435
2007-11-26,1.120147705,10.05259879,1.920099855,1.253531726,,,1.0,1.0,0.299228323412476,0.0435
2007-11-27,1.121701567,9.922812068,1.909350096,1.409653686,,,1.0,1.0,0.2367640084772311,0.0435
2007-11-28,1.125871477,9.992030258,1.933624774,1.35715021,,,1.0,1.0,0.1949596255206647,0.0435
2007-11-29,1.122943959,9.92663394,1.863677511,1.389823344,,,1.0,1.0,0.1903347231068419,0.0435
2007-11-30,1.118488953,9.942251322,1.777062014,1.311470981,,,1.0,1.0,0.1472372672529444,0.0435
2007-12-03,1.105089577,9.741291982,1.577727316,1.396103933,,,1.0,1.0,0.1309620694375178,0.0396
2007-12-04,1.105276105,9.778045755,1.561447123,1.340497162,,,1.0,1.0,0.1309339520262051,0.0396
2007-12-05,1.100190049,9.718568183,1.477545588,1.344980785,,,1.0,1.0,0.1227881686958845,0.0396
2007-12-06,1.100472794,9.863631794,1.465412406,1.165604132,,,1.0,1.0,0.160925128060163,0.0396
2007-12-07,1.092608997,9.824813385,1.348775176,1.119725868,,,1.0,1.0,0.1649765758586523,0.0396
2007-12-10,1.092815017,9.957317223,1.338819981,0.962240391,,,1.0,1.0,0.1618766815632027,0.0396
2007-12-11,1.093451768,9.990568276,1.334678951,0.92524117,,,1.0,1.0,0.1889879099413897,0.0396
2007-12-12,1.083208931,9.815136549,1.191152407,1.013084975,,,1.0,1.0,0.2622324862119858,0.0396
2007-12-13,1.085258705,9.789089879,1.208073566,1.057851548,,,1.0,1.0,0.2107757044880455,0.0396
2007-12-14,1.10118621,10.00369676,1.401974693,0.970176257,,,1.0,1.0,0.2030930845480034,0.0396
2007-12-17,1.11099794,10.18760287,1.513107385,0.859144728,,,1.0,1.0,0.1906857187249735,0.0396
2007-12-18,1.130106113,10.61112536,1.737437396,0.591750827,,,1.0,1.0,0.1819125823745423,0.0396
2007-12-19,1.157396587,11.20915213,2.053069675,0.253186572,,,1.0,1.0,0.2151832675348978,0.0396
2007-12-20,1.16798562,11.62669059,2.148341361,-0.038471473,,,1.0,1.0,0.2023602331837636,0.0396
2007-12-21,1.161618247,11.74349747,2.034484761,-0.199113137,,,1.0,1.0,0.2469241400902347,0.0396
2007-12-24,1.155325026,11.81099457,1.927057443,-0.313294563,,,1.0,1.0,0.2449926756276876,0.0396
2007-12-25,1.155325026,11.81099457,1.899186794,-0.312230424,,,1.0,1.0,0.2449926756276876,0.0396
2007-12-26,1.148771478,11.79470509,1.795096337,-0.355385168,,,1.0,1.0,0.2928672415146436,0.0396
2007-12-27,1.13611642,11.68074313,1.622962816,-0.368196756,,,1.0,1.0,0.2965501345384937,0.0396
2007-12-28,1.122150848,11.37568528,1.440510146,-0.220968543,,,1.0,1.0,0.2790718123047083,0.0396
2007-12-31,1.117661201,11.08103755,1.374238449,0.015047058,,,1.0,1.0,0.2825908138878304,0.0396
2008-01-01,1.117661201,11.08103755,1.362343534,0.015001932,,,1.0,1.0,0.2825908138878304,0.1208
2008-01-02,1.113813211,10.87272405,1.30554242,0.183479046,,,1.0,1.0,0.3694696666779046,0.1208
2008-01-03,1.101126465,10.49116188,1.145959946,0.452132177,,,1.0,1.0,0.3958446818516399,0.1208
2008-01-04,1.10045866,10.32590838,1.13028766,0.623435336,,,1.0,1.0,0.3724668924723018,0.1208
2008-01-07,1.100955261,10.29143769,1.128581717,0.664311976,,,1.0,1.0,0.3258049471091944,0.1208
2008-01-08,1.103277858,10.36863476,1.148389632,0.600071663,,,1.0,1.0,0.3850590712941741,0.1208
2008-01-09,1.107290453,10.44447248,1.18774482,0.555908261,,,1.0,1.0,0.3689078688918142,0.1208
2008-01-10,1.11339462,10.62526997,1.250944703,0.421130569,,,1.0,1.0,0.3487393381609336,0.1208
2008-01-11,1.116663344,10.7481158,1.279921574,0.322962231,,,1.0,1.0,0.3709862989842321,0.1208
2008-01-14,1.118491865,10.84419553,1.2916131,0.240282063,,,1.0,1.0,0.4145991806706282,0.1208
2008-01-15,1.118586024,10.92892003,1.282958562,0.153386866,,,1.0,1.0,0.3612242399683276,0.1208
2008-01-16,1.121368304,11.00105105,1.305692834,0.107247878,,,1.0,1.0,0.3098571859929028,0.1208
2008-01-17,1.126997444,11.1294365,1.360947727,0.033505579,,,1.0,1.0,0.3107690064328414,0.1208
2008-01-18,1.121962701,11.01380735,1.292027942,0.100016419,,,1.0,1.0,0.3200001819342325,0.1208
2008-01-21,1.121962701,11.01380735,1.2824876,0.099736978,,,1.0,1.0,0.3200001819342325,0.1208
2008-01-22,1.108449735,10.75333709,1.117284738,0.233265932,,,1.0,1.0,0.2588537087565387,0.1208
2008-01-23,1.089798332,10.41688187,0.894636585,0.402991436,,,1.0,1.0,0.1705257283168267,0.1208
2008-01-24,1.083553068,10.3721849,0.817786663,0.384932171,,,1.0,1.0,0.2492169392588961,0.1208
2008-01-25,1.076972831,10.25676185,0.737587282,0.443116442,,,1.0,1.0,0.2926696395575853,0.1208
2008-01-28,1.068576001,10.20022227,0.636666303,0.414814377,,,1.0,1.0,0.3239152272971738,0.1208
2008-01-29,1.06975307,10.30386907,0.648013404,0.308538684,,,1.0,1.0,0.3558789815075603,0.1208
2008-01-30,1.081101586,10.66382161,0.77819752,0.034113985,,,1.0,1.0,0.3565886278238768,0.1208
2008-01-31,1.07154754,10.64261908,0.663104356,-0.044196197,,,1.0,1.0,0.3784342089570511,0.1208
2008-02-01,1.065326963,10.72430242,0.58762026,-0.195897737,,,1.0,1.0,0.3278160507774767,-0.0646
2008-02-04,1.065968064,10.85942341,0.593081155,-0.328314752,,,1.0,1.0,0.3639326719412284,-0.0646
2008-02-05,1.062529425,10.86774743,0.55049129,-0.371686194,,,1.0,1.0,0.3271679719877136,-0.0646
2008-02-06,1.059044643,10.84256907,0.507496443,-0.381290736,,,1.0,1.0,0.3404131458193164,-0.0646
2008-02-07,1.05075295,10.72562801,0.407731726,-0.346981013,,,1.0,1.0,0.3808406933954572,-0.0646
2008-02-08,1.038422534,10.50356722,0.260172192,-0.243706831,,,1.0,1.0,0.4557097567562018,-0.0646
2008-02-11,1.032726169,10.29945287,0.191660218,-0.082284701,,,1.0,1.0,0.4706278525488661,-0.0646
2008-02-12,1.038770772,10.31589314,0.263282268,-0.03321963,,,1.0,1.0,0.434825219906124,-0.0646
2008-02-13,1.030372114,10.10407933,0.162107122,0.113949862,,,1.0,1.0,0.4351673705580212,-0.0646
2008-02-14,1.032438195,10.06564418,0.18646752,0.182170841,,,1.0,1.0,0.501677161340722,-0.0646
2008-02-15,1.04116813,10.12714399,0.290921523,0.209317235,,,1.0,1.0,0.4951953079195771,-0.0646
2008-02-18,1.04116813,10.12714399,0.290135279,0.20877294,,,1.0,1.0,0.4951953079195771,-0.0646
2008-02-19,1.036659972,9.909094463,0.234917542,0.417871871,,,1.0,1.0,0.5893756805820457,-0.0646
2008-02-20,1.031723376,9.634672679,0.174540428,0.702983126,,,1.0,1.0,0.5916803859468694,-0.0646
2008-02-21,1.028669393,9.382489554,0.137030572,0.996104195,,,1.0,1.0,0.614516350669698,-0.0646
2008-02-22,1.020772263,9.067758407,0.040590304,1.32959786,,,1.0,1.0,0.6328448391657227,-0.0646
2008-02-25,1.01559156,8.830986649,-0.022712125,1.598869669,,,1.0,1.0,0.6556208820259974,-0.0646
2008-02-26,1.020316354,8.921444458,0.035126891,1.512744524,,,1.0,1.0,0.7036314662398504,-0.0646
2008-02-27,1.021665146,8.987070431,0.051578268,1.422947183,,,1.0,1.0,0.7202595813783481,-0.0646
2008-02-28,1.03381717,9.14215006,0.200783073,1.344610331,,,1.0,1.0,0.7840867792319821,-0.0646
